date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:41:36	42927/42927	---MC-	200	added ('OK')	text/html	etag:W/%22867741ccb23a9404980d80da6ef6935d%22	https://curriculum.code.org/plcsp-21/local/18/	C:/Users/srmorri3/Downloads/CSP2/CSP2/curriculum.code.org/plcsp-21/local/18/index.html	(from https://curriculum.code.org/plcsp-21/local/)
10:41:36	41442/41442	---MC-	200	added ('OK')	text/html	etag:W/%22ab1c481cee6d8b96ce784b254c6fa6b0%22	https://curriculum.code.org/plcsp-21/local/19/	C:/Users/srmorri3/Downloads/CSP2/CSP2/curriculum.code.org/plcsp-21/local/19/index.html	(from https://curriculum.code.org/plcsp-21/local/)
10:41:37	4982/4982	---MC-	200	added ('OK')	application/javascript	etag:W/%2269d42bfc9edc519dc5109df902d43c78%22	https://curriculum.code.org/static/js/toc.js	C:/Users/srmorri3/Downloads/CSP2/CSP2/curriculum.code.org/static/js/toc.js	(from https://curriculum.code.org/plcsp-21/local/)
10:41:37	1999/1999	---MC-	200	added ('OK')	application/javascript	etag:W/%2235da97a040587a3f7ad4448e969a2abb%22	https://curriculum.code.org/static/js/jquery.details.min.js	C:/Users/srmorri3/Downloads/CSP2/CSP2/curriculum.code.org/static/js/jquery.details.min.js	(from https://curriculum.code.org/plcsp-21/local/)
10:41:37	35507/35507	---MC-	200	added ('OK')	text/html	etag:W/%22fa89e1c2836d018a2c14e379db461499%22	https://curriculum.code.org/plcsp-21/local/20/	C:/Users/srmorri3/Downloads/CSP2/CSP2/curriculum.code.org/plcsp-21/local/20/index.html	(from https://curriculum.code.org/plcsp-21/local/)
10:41:37	43208/43208	---MC-	200	added ('OK')	text/html	etag:W/%22cf01ace53570570074eea6254be2c618%22	https://curriculum.code.org/plcsp-21/local/21/	C:/Users/srmorri3/Downloads/CSP2/CSP2/curriculum.code.org/plcsp-21/local/21/index.html	(from https://curriculum.code.org/plcsp-21/local/)
10:41:38	6221/6221	---MC-	200	added ('OK')	application/javascript	etag:W/%22a5960eab8a97cf6bf93983d057995795%22	https://curriculum.code.org/static/js/lesson.js	C:/Users/srmorri3/Downloads/CSP2/CSP2/curriculum.code.org/static/js/lesson.js	(from https://curriculum.code.org/plcsp-21/local/)
10:41:39	42481/42481	---MC-	200	added ('OK')	text/html	etag:W/%22fa5c552218d85c3fc979580d85941b9b%22	https://curriculum.code.org/plcsp-21/local/23/	C:/Users/srmorri3/Downloads/CSP2/CSP2/curriculum.code.org/plcsp-21/local/23/index.html	(from https://curriculum.code.org/plcsp-21/local/)
10:41:39	35507/35507	---MC-	200	added ('OK')	text/html	etag:W/%224a68a63457eb8de457270ebf68501de7%22	https://curriculum.code.org/plcsp-21/local/22/	C:/Users/srmorri3/Downloads/CSP2/CSP2/curriculum.code.org/plcsp-21/local/22/index.html	(from https://curriculum.code.org/plcsp-21/local/)
10:41:40	47949/47949	---MC-	200	added ('OK')	text/html	etag:W/%22ed07e2d8a48b1f986bbdc248f8fba200%22	https://curriculum.code.org/plcsp-21/local/24/	C:/Users/srmorri3/Downloads/CSP2/CSP2/curriculum.code.org/plcsp-21/local/24/index.html	(from https://curriculum.code.org/plcsp-21/local/)
10:41:40	41310/41310	---MC-	200	added ('OK')	text/html	etag:W/%22f67af7fccefbf6687ff6b6d30081ffd8%22	https://curriculum.code.org/plcsp-21/local/25/	C:/Users/srmorri3/Downloads/CSP2/CSP2/curriculum.code.org/plcsp-21/local/25/index.html	(from https://curriculum.code.org/plcsp-21/local/)
10:41:42	38726/38726	---MC-	200	added ('OK')	text/html	etag:W/%22a865f44f7db77d5a3a1bfe1e0fea7467%22	https://curriculum.code.org/plcsp-21/local/26/	C:/Users/srmorri3/Downloads/CSP2/CSP2/curriculum.code.org/plcsp-21/local/26/index.html	(from https://curriculum.code.org/plcsp-21/local/)
10:41:42	35507/35507	---MC-	200	added ('OK')	text/html	etag:W/%22130e50281dcd7ceb12c1b115155334bf%22	https://curriculum.code.org/plcsp-21/local/28/	C:/Users/srmorri3/Downloads/CSP2/CSP2/curriculum.code.org/plcsp-21/local/28/index.html	(from https://curriculum.code.org/plcsp-21/local/)
10:41:42	50814/50814	---MC-	200	added ('OK')	text/html	etag:W/%2291082905f7bade79162c7a521b016860%22	https://curriculum.code.org/plcsp-21/local/27/	C:/Users/srmorri3/Downloads/CSP2/CSP2/curriculum.code.org/plcsp-21/local/27/index.html	(from https://curriculum.code.org/plcsp-21/local/)
10:41:43	41499/41499	---MC-	200	added ('OK')	text/html	etag:W/%2201c1644f828c9f099b264bdd09193478%22	https://curriculum.code.org/plcsp-21/local/29/	C:/Users/srmorri3/Downloads/CSP2/CSP2/curriculum.code.org/plcsp-21/local/29/index.html	(from https://curriculum.code.org/plcsp-21/local/)
10:41:44	41546/41546	---MC-	200	added ('OK')	text/html	etag:W/%22cb88c4a5739df3c1e20ad4b49c95fdcc%22	https://curriculum.code.org/plcsp-21/local/30/	C:/Users/srmorri3/Downloads/CSP2/CSP2/curriculum.code.org/plcsp-21/local/30/index.html	(from https://curriculum.code.org/plcsp-21/local/)
10:41:45	42005/42005	---MC-	200	added ('OK')	text/html	etag:W/%22ee748c1f815fabf7c13f8310b0fdb6ff%22	https://curriculum.code.org/plcsp-21/local/31/	C:/Users/srmorri3/Downloads/CSP2/CSP2/curriculum.code.org/plcsp-21/local/31/index.html	(from https://curriculum.code.org/plcsp-21/local/)
10:41:45	35507/35507	---MC-	200	added ('OK')	text/html	etag:W/%2280a0eebec1f50c5a0ea92bc98c878f41%22	https://curriculum.code.org/plcsp-21/local/32/	C:/Users/srmorri3/Downloads/CSP2/CSP2/curriculum.code.org/plcsp-21/local/32/index.html	(from https://curriculum.code.org/plcsp-21/local/)
10:41:45	43667/43667	---MC-	200	added ('OK')	text/html	etag:W/%227ad5cfb860d4d97f4ed28e4a93583e54%22	https://curriculum.code.org/plcsp-21/local/33/	C:/Users/srmorri3/Downloads/CSP2/CSP2/curriculum.code.org/plcsp-21/local/33/index.html	(from https://curriculum.code.org/plcsp-21/local/)
10:41:47	35507/35507	---MC-	200	added ('OK')	text/html	etag:W/%22cdea84b86bd041df9f63510c155494ea%22	https://curriculum.code.org/plcsp-21/local/34/	C:/Users/srmorri3/Downloads/CSP2/CSP2/curriculum.code.org/plcsp-21/local/34/index.html	(from https://curriculum.code.org/plcsp-21/local/)
